Nombre,Cargo,Grados,Codigo
Carlos_Conca,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Universite_Pierre_Et_Marie_Curie_Paris_6', 'fecha': '01-07-1987'}, {'Grado': 'Doctor', 'Institucion': 'Universite_Pierre_Et_Marie_Curie_Paris_6', 'fecha': '22-01-1985'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '25-01-1977'}]",DIM
Sebastian_Donoso,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-06-2015'}, {'Grado': 'Doctor', 'Institucion': 'Universite_ParisEst', 'fecha': '28-05-2015'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '12-08-2011'}]",DIM
Raul_Gormaz,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Grenoble', 'fecha': '31-12-1994'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '17-08-1979'}]",DIM
Jorge_Amaya,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Lovaina', 'fecha': '31-12-1991'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '20-07-1976'}]",DIM
Rafael_Correa,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_Blaise_Pascal', 'fecha': '31-12-1987'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '08-09-1971'}]",DIM
Patricio_Felmer,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Wisconsin_Madison', 'fecha': '27-08-1989'}, {'Grado': 'Magister', 'Institucion': 'U_of_Wisconsin_Madison', 'fecha': '21-12-1986'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-08-1983'}]",DIM
Raul_Gouet,Prof_Asociado,"[{'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '15-06-1983'}, {'Grado': 'Doctor', 'Institucion': 'U_de_Paris_XI_Orsay', 'fecha': '24-06-1981'}]",DIM
Rodolfo_Gutierrez,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universite_Sorbonne_Paris_Cite', 'fecha': '08-04-2019'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '04-09-2015'}, {'Grado': 'Magister', 'Institucion': 'Universite_ParisSaclay', 'fecha': '10-07-2015'}]",DIM
Marcos_Kiwi,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'Massachusetts_Institute_Of_Technology', 'fecha': '21-02-1996'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '06-08-1991'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '09-01-1990'}]",DIM
Alejandro_Maass,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_DAixMarseille_II', 'fecha': '07-07-1994'}, {'Grado': 'Ingeniero_Civil_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '15-06-1990'}]",DIM
Servet_Martinez,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_Pierre_et_Marie_Curie_Paris_VI', 'fecha': '31-12-1986'}, {'Grado': 'Ingeniero_Matematico', 'Institucion': 'Universidad_De_Chile', 'fecha': '28-10-1975'}]",DIM
Flavio_Guinez,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '22-12-2009'}, {'Grado': 'Licenciado_en_Ciencias,_con_mencion_en_Matematicas', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-06-2004'}]",DIM
Michal_Kowalczyk,Prof_Titular,"[{'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '22-07-2005'}, {'Grado': 'Doctor', 'Institucion': 'U_de_Tennessee', 'fecha': '11-08-1995'}, {'Grado': 'Magister', 'Institucion': 'U_de_Varsovia', 'fecha': '31-12-1988'}]",DIM
Raul_Manasevich,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_California_Berkeley', 'fecha': '15-06-1971'}, {'Grado': 'Magister', 'Institucion': 'U_of_California_Berkeley', 'fecha': '30-06-1968'}, {'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '02-09-1966'}]",DIM
