Titulo,Codigo,Creditos,Requisitos,Profesores,Departamento
Introducción a la Tesis I,MA7990,,,,DIM
Introducción a la Tesis II,MA7991,,,,DIM
Trabajo de Tesis I,MA8901,,,,DIM
Trabajo de Tesis II,MA8902,,,,DIM
Trabajo de Tesis III,MA8903,,,,DIM
Trabajo de Tesis IV,MA8904,,,,DIM
Taller de Tesis,MA8961,,['Obligatorio_para_el_Magíster_en_Matemáticas_Aplicadas'],,DIM
Seminario de Titulación,MA8962,,['Sólo_para_Magíster_y_Doctorado'],,DIM
Seminario de Titulación,MA8963,,,,DIM
Introducción a la Tesis,MA799,,,,DIM
Herramientas Computacionales para Ingeniería y Ciencias,CC1000,3,,['Juan_Álvarez'],DCC
